UF;Município;DSVACINAmn;Distribuída aos Municípios
AL;Poço Das Trincheiras;FIOCRUZ/ASTRAZENECA;9560
AL;Poço Das Trincheiras;JANSSEN (JOHNSON & JOHNSON);175
AL;Poço Das Trincheiras;PFIZER/BIONTECH;1224
AL;Porto Calvo;BUTANTAN/SINOVAC;8712
AL;Porto Calvo;FIOCRUZ/ASTRAZENECA;13475
AL;Porto Calvo;JANSSEN (JOHNSON & JOHNSON);395
AL;Porto Calvo;PFIZER/BIONTECH;11448
AL;Porto De Pedras;BUTANTAN/SINOVAC;2746
AL;Porto De Pedras;FIOCRUZ/ASTRAZENECA;3810
AL;Porto De Pedras;JANSSEN (JOHNSON & JOHNSON);445
AL;Porto De Pedras;PFIZER/BIONTECH;3258
AL;Porto Real Do Colégio;BUTANTAN/SINOVAC;12638
AL;Porto Real Do Colégio;FIOCRUZ/ASTRAZENECA;8560
AL;Porto Real Do Colégio;JANSSEN (JOHNSON & JOHNSON);285
AL;Porto Real Do Colégio;PFIZER/BIONTECH;4752
AL;Quebrangulo;BUTANTAN/SINOVAC;2570
AL;Quebrangulo;FIOCRUZ/ASTRAZENECA;6290
AL;Quebrangulo;JANSSEN (JOHNSON & JOHNSON);235
AL;Quebrangulo;PFIZER/BIONTECH;8580
AL;Rio Largo;BUTANTAN/SINOVAC;23650
AL;Rio Largo;FIOCRUZ/ASTRAZENECA;52725
AL;Rio Largo;JANSSEN (JOHNSON & JOHNSON);1030
AL;Rio Largo;PFIZER/BIONTECH;58140
AL;Roteiro;BUTANTAN/SINOVAC;2588
AL;Roteiro;FIOCRUZ/ASTRAZENECA;1640
AL;Roteiro;JANSSEN (JOHNSON & JOHNSON);80
AL;Roteiro;PFIZER/BIONTECH;5544
AL;Santa Luzia Do Norte;BUTANTAN/SINOVAC;3672
AL;Santa Luzia Do Norte;FIOCRUZ/ASTRAZENECA;6360
AL;Santa Luzia Do Norte;JANSSEN (JOHNSON & JOHNSON);90
AL;Santa Luzia Do Norte;PFIZER/BIONTECH;1818
AL;Santana Do Ipanema;BUTANTAN/SINOVAC;15142
AL;Santana Do Ipanema;FIOCRUZ/ASTRAZENECA;15980
AL;Santana Do Ipanema;JANSSEN (JOHNSON & JOHNSON);640
AL;Santana Do Ipanema;PFIZER/BIONTECH;35394
AL;Santana Do Mundaú;BUTANTAN/SINOVAC;2920
AL;Santana Do Mundaú;FIOCRUZ/ASTRAZENECA;5540
AL;Santana Do Mundaú;JANSSEN (JOHNSON & JOHNSON);315
AL;Santana Do Mundaú;PFIZER/BIONTECH;8586
AL;São Brás;BUTANTAN/SINOVAC;4140
AL;São Brás;FIOCRUZ/ASTRAZENECA;5025
AL;São Brás;JANSSEN (JOHNSON & JOHNSON);90
AL;São Brás;PFIZER/BIONTECH;1728
AL;São José Da Laje;BUTANTAN/SINOVAC;4782
AL;São José Da Laje;FIOCRUZ/ASTRAZENECA;16985
AL;São José Da Laje;JANSSEN (JOHNSON & JOHNSON);310
AL;São José Da Laje;PFIZER/BIONTECH;15576
AL;São José Da Tapera;BUTANTAN/SINOVAC;23346
AL;São José Da Tapera;FIOCRUZ/ASTRAZENECA;14930
AL;São José Da Tapera;JANSSEN (JOHNSON & JOHNSON);545
AL;São José Da Tapera;PFIZER/BIONTECH;6090
AL;São Luís Do Quitunde;BUTANTAN/SINOVAC;9750
AL;São Luís Do Quitunde;FIOCRUZ/ASTRAZENECA;16160
AL;São Luís Do Quitunde;JANSSEN (JOHNSON & JOHNSON);1775
